word,selected_sentence,sentence_length,original_frequency
palmoplantar,"– skin and connective tissue diseases – connective tissue diseases – alpha 1-antitrypsin deficiency – cartilage diseases – chondromalacia patellae – osteochondritis – polychondritis, relapsing – Tietze syndrome – cellulitis – collagen diseases – Ehlers–Danlos syndrome – keloid – acne keloid – necrobiotic disorders – granuloma annulare – necrobiosis lipoidica – osteogenesis imperfecta – cutis laxa – dermatomyositis – Dupuytren's contracture – homocystinuria – lupus erythematosus, cutaneous – lupus erythematosus, discoid – panniculitis, lupus erythematosus – lupus erythematosus, systemic – lupus nephritis – lupus vasculitis, central nervous system – Marfan syndrome – mixed connective tissue disease – mucinoses – ganglion cysts – mucinosis, follicular – mucopolysaccharidoses – mucopolysaccharidosis i – mucopolysaccharidosis ii – mucopolysaccharidosis iii – mucopolysaccharidosis iv – mucopolysaccharidosis vi – mucopolysaccharidosis vii – myxedema – scleredema adultorum – neoplasms, connective tissue – myofibroma – Noonan syndrome – osteopoikilosis – panniculitis – erythema induratum – panniculitis, lupus erythematosus – panniculitis, nodular nonsuppurative – panniculitis, peritoneal – penile induration – pseudoxanthoma elasticum – rheumatic diseases – arthritis, rheumatoid – arthritis, juvenile rheumatoid – Caplan's syndrome – Felty's syndrome – rheumatoid nodule – Sjögren syndrome – spondylitis, ankylosing – Still's disease, adult-onset – hyperostosis, sternocostoclavicular – polymyalgia rheumatica – scleroderma, localized – scleroderma, systemic – scleroderma, diffuse – scleroderma, limited – CREST syndrome – skin diseases – acneiform eruptions – acne keloid – acne vulgaris – angiolymphoid hyperplasia with eosinophilia – breast diseases – breast cyst – breast neoplasms – breast neoplasms, male – carcinoma, ductal, breast – phyllodes tumor – fibrocystic breast disease – gynecomastia – lactation disorders – galactorrhea – Chiari–Frommel syndrome – mastitis – cicatrix – cicatrix, hypertrophic – keloid – acne keloid – cutaneous fistula – dermatitis – acrodermatitis – dermatitis, atopic – dermatitis, contact – dermatitis, allergic contact – dermatitis, photoallergic – dermatitis, toxicodendron – dermatitis, irritant – dermatitis, phototoxic – diaper rash – dermatitis, occupational – dermatitis, exfoliative – dermatitis herpetiformis – dermatitis, perioral – dermatitis, seborrheic – drug eruptions – epidermal necrolysis, toxic – erythema nodosum – serum sickness – eczema – eczema, dyshidrotic – intertrigo – neurodermatitis – radiodermatitis – dermatomyositis – erythema – erythema chronicum migrans – erythema induratum – erythema infectiosum – erythema multiforme – Stevens–Johnson syndrome – erythema nodosum – Sweet's syndrome – exanthema – exanthema subitum – facial dermatoses – acneiform eruptions – acne keloid – acne vulgaris – dermatitis, perioral – foot diseases – foot dermatoses – tinea pedis – foot ulcer – immersion foot – hair diseases – folliculitis – acne keloid – hirsutism – hypertrichosis – hypotrichosis – alopecia – alopecia areata – mucinosis, follicular – Menkes kinky hair syndrome – hand dermatoses – keratoacanthoma – keratosis – callosities – cholesteatoma – cholesteatoma, middle ear – ichthyosis – ichthyosiform erythroderma, congenital – hyperkeratosis, epidermolytic – ichthyosis, lamellar – ichthyosis vulgaris – ichthyosis, x-linked – Sjögren–Larsson syndrome – keratoderma, palmoplantar – keratoderma, palmoplantar, diffuse – Papillon–Lefèvre disease – keratosis follicularis – keratosis, seborrheic – parakeratosis – porokeratosis – leg dermatoses – lipomatosis – lupus erythematosus, cutaneous – lupus erythematosus, discoid – panniculitis, lupus erythematosus – mastocytosis – mastocytoma – mastocytosis, cutaneous – urticaria pigmentosa – nail diseases – nail–patella syndrome – nails, ingrown – nails, malformed – onychomycosis – paronychia – necrobiotic disorders – granuloma annulare – necrobiosis lipoidica – panniculitis – erythema induratum – panniculitis, lupus erythematosus – panniculitis, nodular nonsuppurative – photosensitivity disorders – dermatitis, photoallergic – dermatitis, phototoxic – hydroa vacciniforme – sunburn – xeroderma pigmentosum – pigmentation disorders – argyria – Café au lait spots – hyperpigmentation – melanosis – acanthosis nigricans – lentigo – leopard syndrome – Peutz–Jeghers syndrome – hypopigmentation – albinism – albinism, ocular – albinism, oculocutaneous – Hermansky–Pudlak syndrome – piebaldism – vitiligo – incontinentia pigmenti – urticaria pigmentosa – xeroderma pigmentosum – prurigo – pruritus – pruritus ani – pruritus vulvae – pyoderma – ecthyma – pyoderma gangrenosum – rosacea – rhinophyma – scalp dermatoses – tinea capitis – tinea favosa – scleredema adultorum – scleroderma, localized – scleroderma, systemic – scleroderma, diffuse – scleroderma, limited – CREST syndrome – sebaceous gland diseases – acne vulgaris – dermatitis, seborrheic – mucinosis, follicular – rhinophyma – sebaceous gland neoplasms – skin abnormalities – acrodermatitis – dyskeratosis congenita – ectodermal dysplasia – Ellis–van Creveld syndrome – focal dermal hypoplasia – neurocutaneous syndromes – Ehlers–Danlos syndrome – epidermolysis bullosa – epidermolysis bullosa acquisita – epidermolysis bullosa dystrophica – epidermolysis bullosa, junctional – epidermolysis bullosa simplex – ichthyosis – ichthyosiform erythroderma, congenital – hyperkeratosis, epidermolytic – ichthyosis, lamellar – ichthyosis vulgaris – ichthyosis, x-linked – Sjögren–Larsson syndrome – incontinentia pigmenti – port-wine stain – pseudoxanthoma elasticum – Rothmund–Thomson syndrome – sclerema neonatorum – xeroderma pigmentosum – skin diseases, eczematous – dermatitis, atopic – dermatitis, contact – dermatitis, allergic contact – dermatitis, photoallergic – dermatitis, toxicodendron – dermatitis, irritant – dermatitis, phototoxic – diaper rash – dermatitis, occupational – dermatitis, exfoliative – dermatitis, seborrheic – eczema – eczema, dyshidrotic – intertrigo – neurodermatitis – skin diseases, genetic – albinism – albinism, ocular – albinism, oculocutaneous – Hermansky–Pudlak syndrome – piebaldism – cutis laxa – dermatitis, atopic – dyskeratosis congenita – ectodermal dysplasia – Ellis–van Creveld syndrome – focal dermal hypoplasia – neurocutaneous syndromes – Ehlers–Danlos syndrome – epidermolysis bullosa – epidermolysis bullosa acquisita – epidermolysis bullosa dystrophica – epidermolysis bullosa, junctional – epidermolysis bullosa simplex – ichthyosiform erythroderma, congenital – hyperkeratosis, epidermolytic – ichthyosis, lamellar – ichthyosis vulgaris – ichthyosis, x-linked – incontinentia pigmenti – keratoderma, palmoplantar – keratoderma, palmoplantar, diffuse – Papillon–Lefèvre disease – keratosis follicularis – pemphigus, benign familial – porokeratosis – porphyria, erythropoietic – porphyrias, hepatic – coproporphyria, hereditary – porphyria, acute intermittent – porphyria cutanea tarda – porphyria, hepatoerythropoietic – porphyria, variegate – protoporphyria, erythropoietic – pseudoxanthoma elasticum – Rothmund–Thomson syndrome – Sjögren–Larsson syndrome – xeroderma pigmentosum – skin diseases, infectious – dermatomycoses – blastomycosis – candidiasis, chronic mucocutaneous – candidiasis, cutaneous – chromoblastomycosis – maduromycosis – paracoccidioidomycosis – sporotrichosis – tinea – onychomycosis – tinea capitis – tinea favosa – tinea pedis – tinea versicolor – paronychia – skin diseases, bacterial – actinomycosis, cervicofacial – angiomatosis, bacillary – ecthyma – erysipelas – erythema chronicum migrans – erythrasma – granuloma inguinale – hidradenitis suppurativa – maduromycosis – pinta – rhinoscleroma – staphylococcal skin infections – furunculosis – carbuncle – impetigo – staphylococcal scalded skin syndrome – syphilis, cutaneous – tuberculosis, cutaneous – erythema induratum – lupus – yaws – skin diseases, parasitic – larva migrans – leishmaniasis – leishmaniasis, cutaneous – leishmaniasis, diffuse cutaneous – leishmaniasis, mucocutaneous – lice infestations – onchocerciasis – scabies – skin diseases, viral – erythema infectiosum – exanthema subitum – herpes simplex – herpes labialis – kaposi varicelliform eruption – molluscum contagiosum – warts – condylomata acuminata – epidermodysplasia verruciformis – skin diseases, metabolic – adiposis dolorosa – lipodystrophy – diabetes mellitus, lipoatrophic – HIV-associated lipodystrophy – necrobiosis lipoidica – porphyrias – porphyria, erythropoietic – porphyrias, hepatic – coproporphyria, hereditary – porphyria, acute intermittent – porphyria cutanea tarda – porphyria, hepatoerythropoietic – porphyria, variegate – protoporphyria, erythropoietic – xanthogranuloma, juvenile – xanthomatosis – Wolman disease – xanthomatosis, cerebrotendinous – skin diseases, papulosquamous – dermatitis, seborrheic – lichenoid eruptions – lichen nitidus – lichen planus – lichen planus, oral – lichen sclerosus et atrophicus – pityriasis lichenoides – lymphomatoid papulosis – parapsoriasis – pityriasis lichenoides – lymphomatoid papulosis – pityriasis – pityriasis lichenoides – lymphomatoid papulosis – pityriasis rosea – pityriasis rubra pilaris – psoriasis – arthritis, psoriatic – skin diseases, vascular – angiomatosis, bacillary – Behçet syndrome – mucocutaneous lymph node syndrome – polyarteritis nodosa – pyoderma gangrenosum – Sneddon syndrome – Takayasu's arteritis – temporal arteritis – urticaria – angioneurotic edema – vasculitis, allergic cutaneous – skin diseases, vesiculobullous – acantholysis – blister – dermatitis herpetiformis – eczema, dyshidrotic – epidermolysis bullosa – epidermolysis bullosa acquisita – epidermolysis bullosa dystrophica – epidermolysis bullosa, junctional – epidermolysis bullosa simplex – erythema multiforme – Stevens–Johnson syndrome – hydroa vacciniforme – pemphigoid, benign mucous membrane – pemphigoid, bullous – pemphigoid gestationis – pemphigus – pemphigus, benign familial – skin manifestations – skin neoplasms – sebaceous gland neoplasms – sweat gland neoplasms – skin ulcer – leg ulcer – foot ulcer – diabetic foot – varicose ulcer – pressure ulcer – pyoderma gangrenosum – sweat gland diseases – hidradenitis – hidradenitis suppurativa – hyperhidrosis – sweating, gustatory – hypohidrosis – miliaria – Fox–Fordyce disease – sweat gland neoplasms The list continues at List of MeSH codes (C18).",1400,4
bickering,Both parties lost support after the internal bickering became public.,10,4
acropolis,"The 2nd century BC town covered, at its peak, an area of about including the acropolis, or about without.",19,4
goblet,"Literary works Poetry Krople czary (The Drops of goblet) 1865 Szkice helweckie i Talia (Helvetian drafts and Waist) 1868 (Leipzig, publ.",21,4
traduction,"Clovis Brunel, ""Une traduction provençale des « Dits des philosophes » de Guillaume de Tignonville"".",15,4
hiragana,"Although written romanized the same way, the Japanese language written forms (kanji, katakana, hiragana) can be different.",17,4
midstream,"DCP Midstream Partners, LP (Enbridge and Phillips 66) is a Fortune 500 company for midstream petroleum services (i.e.",18,4
minhagim,"Traditions Shomrei Masoret perceive the preservation of the Jewish tradition, minhagim, and family customs, as an educational and a family value.",21,4
slop,"Jocasta was the only player who ran out of time, but she took the slop and still lost.",18,4
masjid,There is a masjid and a madarsa at Purana Bazar and a Jama Masjid at Loco Bazar.,17,4
nodosum,"Skin manifestations, such as erythema nodosum, are also common with Coccidioides infection.",12,4
isosceles,"The tower is known for being the ""only perfect isosceles triangle"" tower-fort structure in the Philippines.",16,4
candelabra,Candelabrum means 'candle-tree' or 'branched like a candelabra'.,8,4
sanguinea,"V. sanguinea inhabits the Amazon, Orinoco, and Essequibo River basins.",10,4
beccarii,V. beccarii has been captured free-swimming.,6,4
thickly,Neighborhood The house was located in a thickly populated downtown district.,11,4
iz,"In 1982 they released their debut album, Noćni prolaz (Night Passage), produced by Robert Nemeček (formerly of Dogovor iz 1804., Pop Mašina and Rok Mašina), through Jugodisk record label.",29,4
shoplifting,The initial idea was to have an employee standing at the door in order to try to decrease shoplifting.,19,4
helipads,"The building nevertheless has a helipad, but it is smaller than the uniform standard used in the city, and, like all helipads, can only be used in emergencies.",28,4
salinus,"Furthermore, the salinity of C. salinus''' habitat may vary from less than one-third of that of sea water to almost five times as much as sea water in a season.",30,4
legitimate,"Ghost tells Angela he will be a completely legitimate businessman going forward, and the two reconcile.",16,4
esophageal,"Thoracic Robotic surgery has become more widespread in thoracic surgery for mediastinal pathologies, pulmonary pathologies and more recently complex esophageal surgery.",21,4
terrae,"The species was first described in 2005, and its name is derived from terrae (of the earth).",17,4
pome,"The fruit is a small pome diameter, pink or bright red, orange or even maroon or black when mature, containing one to three (rarely up to five) seeds.",28,4
angustus,Leymus angustus is a species of grass known by the common name Altai wildrye.,14,4
minutus,"It was described again by Charles Howard Edmondson in 1925 as Euxanthus minutus, and again by Edmondson in 1931 as Megametope sulcatus, both of which are junior subjective (heterotypic) synonyms.",30,4
showy,"The flowers are usually small and inconspicuous, but some genera can have more ""showy"" conspicuous flowers (Haloragodendron, Glischrocaryon).",18,4
stewardess,Her debut was as a flight stewardess in the 1948 Dutch film Dutch in Seven Lessons.,16,4
epoxidation,"Initially, the approach depends upon an enantioselective Sharpless epoxidation, which sets the stereochemistry at C20.",15,4
rhodomystax,"Leptodactylus rhodomystax (common name: Loreto white-lipped frog, rose-lipped thin-toed frog) is a species of frog in the family Leptodactylidae.",19,4
onto,The helipad is still big enough for a smaller rescue or fire helicopter to land onto.,16,4
sourcing,"The sourcing, production, QA/QC and expediting of the stone was carried out by Ramsey Stone Consultants on behalf of Turner Construction.",21,4
lofty,"The word ""Chien"" has several meanings: ""To make one's ambition lofty.""",11,4
discoloration,This initial leaf and stem discoloration is usually followed by plant wilting and death.,14,4
pua,Goti Pua: The goti puas are boy dancers who dress up as girls.,13,4
legitimation,"""Social and environmental reporting at the VRA: institutionalised legitimacy or legitimation crisis?.""",12,4
pancreatitis,"Pink to red/bloody: Traumatic tap, malignancy, pulmonary infarction, intestinal infarction, pancreatitis, trauma.",12,4
edmund,Edmund and Ruth Frow suggest that her increasingly political and feminist editorials may have caused Blatchford to reassess her input.,20,4
cerrado,Home ranges consist of almost equal parts of the cerrado biome and pasture.,13,4
rapamycin,Effect of rapamycin on aging and age-related diseases—past and future.,10,4
equalizer,"Colombia would score in the 115th minute, but were unable to get an equalizer.",14,4
tus,He completed the memorization of the Quran in 1999 and is also a professor at Al Jamea tus Saifiyah.,19,4
diaper,UnderJams are a pull-on style diaper made by Pampers for managing bedwetting.,12,4
pillage,"Noir Canada: Pillage, corruption et criminalité en Afrique, Montreal: Éditions Écosociété, p. 27-38.Belem, Gisèle.",14,4
orbital,This means that a dihedral angle of 40 allows for ideal position of the peroxide sigma star orbital.,18,4
secondary,"Primary schools in particular still lack resources, and the teachers are less well paid than their secondary school colleagues.",19,4
modernizing,"In November 2017 Mehdi Hasan criticized ""Saudi Arabia’s Arab Spring, at Last"", a column written by Friedman, in which the latter characterized Mohammed bin Salman as a modernizing reformer and a champion of a moderate form of Islam.",38,4
simus,"A few other Mexican species still considered endangered or vulnerable by the IUCN, including at least C. maya, C. simus and C. verecundus of Lake Chichancanab, also appear to only survive in captivity.",33,4
iridium,"Geology The Cretaceous–Paleogene boundary, also known as the K-Pg or K-T boundary, or the iridium layer, can be viewed in Raton.",21,4
impunity,The organisation expressed concern over impunity in Bangladesh murder cases involving journalists.,12,4
jacobite,"Even on the verge of death, the internal divisions that undermined the Jacobite cause continued.",15,4
died,"Aftermath Despite receiving food from the Spanish, half of the troops died before reaching Messières.",15,4
dismemberment,France pressed for the dismemberment of Germany and the payment of a huge sum in war reparations.,17,4
menace,"Rising To Popularity Under Irie Ites Studios, Abban launched a campaigned against Drug Abuse to educate the youth on the effect of drug menace.",24,4
claudin,"However, depending on the type of claudin and their interactions there is selective permeability.",14,4
boxicity,"The cubicity of a graph is closely related to the boxicity of a graph, denoted .",16,4
drolls,"Francis Kirkman's The Wits, or Sport Upon Sport, 1662, is a collection of twenty-seven drolls.",15,4
amore,"Netizens speculated that the victims took the recreational drug called ""Green Amore"", a lethal mix of ecstasy and methamphetamine.",19,4
radiant,"In optical physics, transmittance of the surface of a material is its effectiveness in transmitting radiant energy.",17,4
photobiont,This photobiont will fuse with the zygote and live within the fungi creating a lichen.,15,4
vasculitis,vasculitis.,1,4
pickle,Şalgam and pickle juice are the preferred drinks for winter with aşlama (licorice juice) replacing them in summer.,18,4
